Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score
1,0.8790903514802456,66.75,0.6760000059145873,0.6406666666666667,0.6148581829443464,64.06666666666668,0.6760000059145873,0.6406666666666667,0.6148581829443464
2,0.6035205078691244,77.09,0.6667251387117671,0.6463333333333333,0.6354612201500407,64.63333333333333,0.6667251387117671,0.6463333333333333,0.6354612201500407
3,0.5134056721210479,80.4,0.6773063754741996,0.6652222222222223,0.6438694645558307,66.52222222222223,0.6773063754741996,0.6652222222222223,0.6438694645558307
4,0.47363997434079647,81.69,0.746483274177219,0.6982222222222222,0.6798952888774408,69.82222222222222,0.746483274177219,0.6982222222222222,0.6798952888774408
5,0.4257953897476196,83.43,0.7449229539398621,0.7218888888888889,0.7136354053807838,72.1888888888889,0.7449229539398621,0.7218888888888889,0.7136354053807838
